| Button Clicked: StartIDScreen_OKButton | GameTime: 3.249104 sec |
| Button Clicked: Exit_PlayerIntro_Button | GameTime: 4.761266 sec |
| Button Clicked: MainMenu_HighScoreButton | GameTime: 5.354984 sec |
| State Change FROM MENU TO HIGHSCORESCREEN | GameTime: 5.354984 sec |
| Button Clicked: ExitHighScoreButton | GameTime: 6.511298 sec |
| State Change FROM HIGHSCORESCREEN TO MENU | GameTime: 6.511298 sec |
| Button Clicked: MainMenu_CreatePuzzleButton | GameTime: 7.573817 sec |
| State Change FROM MENU TO PLAYERCONFIG | GameTime: 7.573817 sec |
| Button Clicked: BeginGameButton | GameTime: 8.214396 sec |
| State Change FROM PLAYERCONFIG TO LOADING_PUBLICATIONS | GameTime: 8.214396 sec |
| Button Clicked: CancelSearchButton | GameTime: 17.91053 sec |
| State Change FROM LOADING_PUBLICATIONS TO PLAYERCONFIG | GameTime: 17.91053 sec |
| Button Clicked: BeginGameButton | GameTime: 19.0042 sec |
| State Change FROM PLAYERCONFIG TO LOADING_PUBLICATIONS | GameTime: 19.0042 sec |
| Search Completed, found 200 publications | GameTime: 20.09809 sec |
| State Change FROM LOADING_PUBLICATIONS TO GAMEPLAY | GameTime: 20.09809 sec |
